	Organisation_Name	network_name	device_name	device_type
0	EMEA-POS	GRUNER-STRASSE	AP01_fauly	Wireless
1	EMEA-POS	PLATZ	AP-02	Switch
2	EMEA-POS	PLATZ	AP-03	Security Appliance
3	EMEA-POS	EINSTEIN	TEl-AVIV_EINSTEIN_MR33	Wireless
4	EMEA-POS	EINSTEIN	TEL-AVIV-EINTEIN_MX65	Wireless
5	EMEA-POS	ARM_WARS	WARS_MOKOTOW _MX65W	Wireless
6	EMEA-POS	ARM_WARS	WARS_MOKOTOW_MR33	Security Appliance
7	EMEA-POS	ARMANI_BHV	ARMANI_PARIS_BHV	Switch
8	EMEA-POS	ARMANI_BM	ARMANI_PARIS_BM	Switch
9	EMEA-POS	ARMANI_GLHAUSSMANN	Armani_Paris_GLHaussmann	Switch
10	EMEA-POS	ARMANI_PRHAUSSMANN	Armani_Paris_PRHaussmann	Switch
11	EMEA-POS	KLS_BROADGATE	UK_U40_MR_1	Wireless
12	EMEA-POS	KLS_BROADGATE	UK_U40_MR_2	Wireless
13	EMEA-POS	KLS_BROADGATE	UK_U40_MR_3	Wireless
14	EMEA-POS	KLS_BROADGATE	UK_U40_MS	Switch
15	EMEA-POS	CASABLANCA-MOROCCO	B01-03	Switch
